trade_date,next_trade_date,code,name,pool_type,board,pct_chg,close,limit_price,amount,turnover,first_seal_time,last_seal_time,break_count,close_vs_limit,industry,industry_board_rank,industry_limitup_count_today,market_index_trend,emotion_stage,prev_industry_open_good_rate,prev_industry_close_good_rate,prev_industry_sample_count,action_score,signal_risk_score,postclose_risk_score,risk_score,board_action_quality,broken_board_quality,next_day_premium_risk,realized_label,next_open,next_high,next_close,open_premium,high_premium,close_return,net_open_return,low_open,rushed_high,continued_limit_up,lhb_listed,lhb_net_buy,institution_net,tracked_seats,buy_concentration,sell_concentration,stock_personality_tag,hist_limitup_count_3y,hist_failed_seal_count_3y,hist_failed_seal_rate_3y,hist_n,hist_open_win_rate,hist_no_premium_rate,hist_avg_open,hist_median_open,hist_avg_high,hist_avg_close,strong_is_new_high,strong_volume_ratio,tech_ma5_dev,tech_ma10_dev,tech_gain5,signal_decision_reason,postclose_risk_reason,decision_reason,data_gaps,data_lineage
2026-08-24,2026-08-25,000017,深中华A,涨停,3,9.98593521118164,7.82,,69120996.0,2.0051183700561523,09:25:00,09:25:00,0,,饰品,1,1,指数下跌,情绪混沌,,,0,10,-1,-1,-1,可以打板,,低/可控,实际有溢价,8.6,8.6,8.6,0.0997442455242965,0.0997442455242965,0.0997442455242965,0.0977442455242965,False,True,True,False,,,,,,样本不足,2,0,0.0,2,1.0,0.0,0.056091648342941,0.056091648342941,0.07721840890632126,0.06049305679364514,是,0.6416265368461609,17.45,22.86,29.9,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；未炸板；成交额过低，容量和滑点风险高；题材/行业热度一般：饰品；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可,,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；未炸板；成交额过低，容量和滑点风险高；题材/行业热度一般：饰品；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可,前一交易日日报缺失，无法回顾前日涨停今表现；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-24,2026-08-25,000931,中 关 村,涨停,3,10.019646644592285,5.6,,616654400.0,14.989714622497559,09:25:00,14:39:57,1,,化学制药,1,4,指数下跌,情绪混沌,,,0,11,-2,-2,-2,可以打板,,低/可控,实际无溢价,5.49,5.52,5.22,-0.019642857142857073,-0.014285714285714346,-0.06785714285714284,-0.021642857142857075,True,False,False,False,,,,,,样本不足,1,0,0.0,1,1.0,0.0,0.10019646365422386,0.10019646365422386,0.10019646365422386,0.10019646365422386,是,5.207016944885254,17.55,24.11,29.03,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；炸板次数1次，可接受但需看承接；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：化学制药；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可,,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；炸板次数1次，可接受但需看承接；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：化学制药；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可,前一交易日日报缺失，无法回顾前日涨停今表现；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-24,2026-08-25,002015,协鑫能科,涨停,1,10.035335540771484,15.57,,494260512.0,1.9555184841156006,09:25:00,09:25:00,0,,电力,1,3,指数下跌,情绪混沌,,,0,8,-1,-1,-1,可以打板,,低/可控,实际有溢价,15.85,17.12,15.88,0.017983301220295456,0.09955041746949256,0.019910083493898556,0.015983301220295454,False,True,False,False,,,,,,样本不足,1,0,0.0,1,1.0,0.0,0.027188328912466808,0.027188328912466808,0.049734748010610064,0.03846153846153855,,,7.26,3.48,2.17,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；所属行业在今日涨停/炸板热度前排：电力；板块内封板排序第1，属于日内前排；今日涨停家数尚可,,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；所属行业在今日涨停/炸板热度前排：电力；板块内封板排序第1，属于日内前排；今日涨停家数尚可,前一交易日日报缺失，无法回顾前日涨停今表现；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-24,2026-08-25,000925,众合科技,涨停,1,10.061349868774414,8.97,,105717890.0,1.7560416460037231,09:25:00,09:25:00,0,,轨交设备,1,1,指数下跌,情绪混沌,,,0,7,0,0,0,谨慎可打,,低/可控,实际有溢价,9.01,9.01,8.37,0.004459308807134743,0.004459308807134743,-0.06688963210702359,0.002459308807134743,False,False,False,False,,,,,,样本不足,,,,,,,,,,,,,9.2,12.38,13.69,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；题材/行业热度一般：轨交设备；板块内封板排序第1，属于日内前排；今日涨停家数尚可,,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；题材/行业热度一般：轨交设备；板块内封板排序第1，属于日内前排；今日涨停家数尚可,前一交易日日报缺失，无法回顾前日涨停今表现；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-24,2026-08-25,002906,华阳集团,涨停,1,10.01558780670166,28.23,,62595480.0,0.4225907027721405,09:25:00,09:25:00,0,,汽车零部,1,4,指数下跌,情绪混沌,,,0,6,1,1,1,谨慎可打,,低/可控,实际有溢价,29.86,29.86,27.41,0.057739992915338156,0.057739992915338156,-0.02904711300035423,0.055739992915338155,False,True,False,False,,,,,,样本不足,,,,,,,,,,,,,,,,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手过低，成交验证不足；成交额过低，容量和滑点风险高；所属行业在今日涨停/炸板热度前排：汽车零部；板块内封板排序第1，属于日内前排；今日涨停家数尚可,,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手过低，成交验证不足；成交额过低，容量和滑点风险高；所属行业在今日涨停/炸板热度前排：汽车零部；板块内封板排序第1，属于日内前排；今日涨停家数尚可,前一交易日日报缺失，无法回顾前日涨停今表现；技术筛选图形缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-24,2026-08-25,002084,海鸥住工,涨停,1,10.027854919433594,3.95,,19296785.0,0.7579439878463745,09:25:00,09:25:00,0,,家居用品,1,2,指数下跌,情绪混沌,,,0,7,1,1,1,谨慎可打,,低/可控,实际有溢价,4.35,4.35,4.35,0.10126582278481,0.10126582278481,0.10126582278481,0.09926582278481,False,True,True,False,,,,,,样本不足,,,,,,,,,,,是,0.14350073039531708,,,,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手过低，成交验证不足；成交额过低，容量和滑点风险高；所属行业在今日涨停/炸板热度前排：家居用品；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可,,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手过低，成交验证不足；成交额过低，容量和滑点风险高；所属行业在今日涨停/炸板热度前排：家居用品；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可,前一交易日日报缺失，无法回顾前日涨停今表现；技术筛选图形缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-24,2026-08-25,002445,中南文化,涨停,1,10.130719184875488,3.37,,16167218.0,0.20274211466312408,09:25:00,09:25:00,0,,通用设备,1,2,指数下跌,情绪混沌,,,0,5,2,2,2,谨慎可打,,中：需看集合竞价承接,实际有溢价,3.71,3.71,3.71,0.10089020771513346,0.10089020771513346,0.10089020771513346,0.09889020771513346,False,True,True,False,,,,,,样本不足,,,,,,,,,,,,,,,,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手过低，成交验证不足；成交额过低，容量和滑点风险高；题材/行业热度一般：通用设备；板块内封板排序第1，属于日内前排；今日涨停家数尚可,,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手过低，成交验证不足；成交额过低，容量和滑点风险高；题材/行业热度一般：通用设备；板块内封板排序第1，属于日内前排；今日涨停家数尚可,前一交易日日报缺失，无法回顾前日涨停今表现；技术筛选图形缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-24,2026-08-25,000065,北方国际,涨停,1,10.033076286315918,9.98,,825797040.0,7.800812721252441,09:25:00,13:56:06,6,,专业工程,1,1,指数下跌,情绪混沌,,,0,4,3,1,1,不能打板,,低/可控,实际无溢价,9.98,10.14,9.98,0.0,0.01603206412825653,0.0,-0.002,False,False,False,True,26892149.93,46426344.19,,0.200616225875929,0.1783005846304609,样本不足,,,,,,,,,,,,,8.9,9.11,8.71,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数6次，封板分歧大；换手处于可承接区间；题材/行业热度一般：专业工程；板块内封板排序第1，属于日内前排；今日涨停家数尚可,盘后龙虎榜净买入0.27亿，可改善次日风险；机构净买入0.46亿,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数6次，封板分歧大；换手处于可承接区间；题材/行业热度一般：专业工程；板块内封板排序第1，属于日内前排；今日涨停家数尚可,前一交易日日报缺失，无法回顾前日涨停今表现；同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-24,2026-08-25,600785,新华百货,涨停,2,9.958932876586914,10.71,,169637652.0,5.015392780303955,09:25:01,09:31:16,1,,一般零售,1,2,指数下跌,情绪混沌,,,0,8,0,1,1,可以打板,,低/可控,实际有溢价,10.78,11.78,11.78,0.006535947712418055,0.09990662931839389,0.09990662931839389,0.004535947712418055,False,True,True,True,-8863483.0,-6634624.8,松江中山东路:国泰海通证券股份有限公司上海松江区中山东路证券营业部,0.22967889924174847,0.27009587832342397,样本不足,1,0,0.0,1,1.0,0.0,0.09958932238193019,0.09958932238193019,0.09958932238193019,0.09958932238193019,否,1.76579749584198,13.38,16.3,17.43,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：一般零售；板块内封板排序第1，属于日内前排；今日涨停家数尚可,盘后龙虎榜净卖出0.09亿，次日风险上升；机构净卖出0.07亿；关注席位上榜：松江中山东路:国泰海通证券股份有限公司上海松江区中山东路证券营业部,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：一般零售；板块内封板排序第1，属于日内前排；今日涨停家数尚可,前一交易日日报缺失，无法回顾前日涨停今表现；同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-24,2026-08-25,600604,市北高新,涨停,1,10.022271156311035,4.94,,139040865.0,2.000519037246704,09:30:00,09:30:00,0,,房地产开,1,2,指数下跌,情绪混沌,,,0,7,0,0,0,谨慎可打,,低/可控,实际无溢价,4.9,4.9,4.64,-0.0080971659919028,-0.0080971659919028,-0.060728744939271384,-0.0100971659919028,True,False,False,False,,,,,,样本不足,2,0,0.0,2,0.5,0.5,-0.004990019960079861,-0.004990019960079861,0.030938123752495106,-0.0359281437125748,,,6.88,4.77,2.49,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；题材/行业热度一般：房地产开；板块内封板排序第1，属于日内前排；今日涨停家数尚可,,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；题材/行业热度一般：房地产开；板块内封板排序第1，属于日内前排；今日涨停家数尚可,前一交易日日报缺失，无法回顾前日涨停今表现；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
