trade_date,next_trade_date,code,name,pool_type,board,pct_chg,close,limit_price,amount,turnover,first_seal_time,last_seal_time,break_count,close_vs_limit,industry,action_score,risk_score,board_action_quality,broken_board_quality,next_day_premium_risk,realized_label,lhb_listed,lhb_net_buy,institution_net,tracked_seats,buy_concentration,sell_concentration,hist_n,hist_open_win_rate,hist_avg_open,strong_is_new_high,strong_volume_ratio,tech_ma5_dev,tech_ma10_dev,tech_gain5,decision_reason,data_gaps,data_lineage
2026-08-25,2026-08-26,000017,深中华A,涨停,4,9.974424362182617,8.6,,497483920.0,13.12454891204834,09:25:00,09:58:12,1,,饰品,8,2,可以打板,,中：需看集合竞价承接,T+1未到/行情缺失,True,-416771.400000006,-45886928.4,,0.19739185952802304,0.19839711202220767,2,1.0,0.056091648342941,是,3.936347246170044,19.91,30.16,42.62,收盘封住涨停；首次封板在10:30前；3板以上有辨识度；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：饰品；图形新高或强势池新高；5日涨幅过高，次日兑现风险；今日涨停家数尚可；盘后龙虎榜净卖出0.00亿，次日风险上升；机构净卖出0.46亿,同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,002084,海鸥住工,涨停,2,10.126582145690918,4.35,,11115020.0,0.3963761329650879,09:25:00,09:25:00,0,,家居用品,7,0,谨慎可打,,低/可控,T+1未到/行情缺失,True,14104835.0,-3966780.0,,0.6546033686589796,0.19063699112893825,,,,是,0.08866307884454727,16.31,20.17,27.94,收盘封住涨停；首次封板在10:30前；2板承接优于普通首板；未炸板；换手过低，成交验证不足；成交额过低，容量和滑点风险高；所属行业在今日涨停/炸板热度前排：家居用品；图形新高或强势池新高；今日涨停家数尚可；盘后龙虎榜净买入0.14亿，可改善次日风险；机构净卖出0.04亿,同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,002445,中南文化,涨停,2,10.089020729064941,3.71,,20938572.0,0.2385128289461136,09:25:00,09:25:00,0,,通用设备,6,-2,谨慎可打,,低/可控,T+1未到/行情缺失,True,2398216.9,0.0,宁波分公司:世纪证券有限责任公司宁波分公司,0.4692222426742565,0.40458128232817575,,,,否,0.09124607592821121,13.39,18.53,22.44,收盘封住涨停；首次封板在10:30前；2板承接优于普通首板；未炸板；换手过低，成交验证不足；成交额过低，容量和滑点风险高；所属行业在今日涨停/炸板热度前排：通用设备；今日涨停家数尚可；盘后龙虎榜净买入0.02亿，可改善次日风险；关注席位上榜：宁波分公司:世纪证券有限责任公司宁波分公司,同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,600984,建设机械,涨停,2,10.022271156311035,4.94,,68324152.0,1.1002638339996338,09:25:02,09:25:02,0,,工程机械,7,0,谨慎可打,,低/可控,T+1未到/行情缺失,False,,,,,,2,0.5,0.004230769230769149,否,0.36555764079093933,13.35,18.3,23.5,收盘封住涨停；首次封板在10:30前；2板承接优于普通首板；未炸板；成交额过低，容量和滑点风险高；题材/行业热度一般：工程机械；接近年/三年高点，图形有辨识度；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,002880,卫光生物,涨停,1,10.0,22.55,,78240666.0,1.539973497390747,09:30:12,09:30:12,0,,生物制品,4,1,不能打板,,低/可控,T+1未到/行情缺失,False,,,,,,,,,否,1.1957577466964722,6.41,7.58,10.43,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；成交额过低，容量和滑点风险高；题材/行业热度一般：生物制品；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,600508,上海能源,涨停,2,10.020242691040039,10.87,,423240480.0,3.862980842590332,09:30:29,10:25:44,1,,煤炭开采,7,1,谨慎可打,,低/可控,T+1未到/行情缺失,True,-29369720.92,0.0,,0.13034538176457444,0.1684894267488443,,,,是,2.443953037261963,14.93,20.0,24.37,收盘封住涨停；首次封板在10:30前；2板承接优于普通首板；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：煤炭开采；图形新高或强势池新高；今日涨停家数尚可；盘后龙虎榜净卖出0.29亿，次日风险上升,同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,000428,华天酒店,涨停,1,9.923664093017578,4.32,,76787310.0,1.779201865196228,09:31:48,09:31:48,0,,酒店餐饮,6,0,谨慎可打,,低/可控,T+1未到/行情缺失,False,,,,,,5,0.6,0.03206234438675863,,,6.93,2.71,0.93,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；成交额过低，容量和滑点风险高；题材/行业热度一般：酒店餐饮；接近年/三年高点，图形有辨识度；今日涨停家数尚可；股性历史开盘溢价较好：n=5 胜率60.0%,龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,600127,金健米业,涨停,1,10.047281265258789,9.31,,2715416624.0,46.16722869873047,09:31:54,14:55:03,7,,农产品加,3,2,不能打板,,中：需看集合竞价承接,T+1未到/行情缺失,True,103631801.02,0.0,拉萨系:东方财富证券股份有限公司拉萨东环路第二证券营业部；拉萨系:东方财富证券股份有限公司拉萨金融城南环路证券营业部,0.16130335064145082,0.08643940937056022,1,1.0,0.004862236628849326,否,1.64215087890625,9.81,25.71,30.94,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数7次，封板分歧大；换手过高，次日抛压风险上升；成交额较大，具备市场辨识度；题材/行业热度一般：农产品加；接近年/三年高点，图形有辨识度；今日涨停家数尚可；盘后龙虎榜净买入1.04亿，可改善次日风险；关注席位上榜：拉萨系:东方财富证券股份有限公司拉萨东环路第二证券营业部；拉萨系:东方财富证券股份有限公司拉萨金融城南环路证券营业部,同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,605303,园林股份,涨停,1,10.014443397521973,22.85,,83424017.0,2.2837131023406982,09:32:12,09:35:12,2,,基础建设,2,2,不能打板,,中：需看集合竞价承接,T+1未到/行情缺失,False,,,,,,1,1.0,0.028462998102466885,,,8.42,6.54,2.79,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数2次，可接受但需看承接；成交额过低，容量和滑点风险高；题材/行业热度一般：基础建设；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,000796,凯撒旅业,涨停,1,10.0,4.18,,167037951.0,3.0495293140411377,09:32:51,09:33:15,1,,旅游及景,4,1,不能打板,,低/可控,T+1未到/行情缺失,False,,,,,,,,,,,7.68,7.79,8.57,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：旅游及景；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
