trade_date,next_trade_date,code,name,pool_type,board,pct_chg,close,limit_price,amount,turnover,first_seal_time,last_seal_time,break_count,close_vs_limit,industry,action_score,risk_score,board_action_quality,broken_board_quality,next_day_premium_risk,realized_label,next_open,next_high,next_close,open_premium,high_premium,close_return,net_open_return,low_open,rushed_high,continued_limit_up,lhb_listed,lhb_net_buy,institution_net,tracked_seats,buy_concentration,sell_concentration,hist_n,hist_open_win_rate,hist_avg_open,strong_is_new_high,strong_volume_ratio,tech_ma5_dev,tech_ma10_dev,tech_gain5,decision_reason,data_gaps,data_lineage
2026-08-26,2026-08-27,002084,海鸥住工,涨停,3,10.11494255065918,4.79,,15938581.0,0.5161793828010559,09:25:00,09:25:00,0,,家居用品,8,0,可以打板,,低/可控,待验证/行情缺失,,,,,,,,,,,False,,,,,,,,,是,0.16093464195728302,19.39,27.8,39.65,收盘封住涨停；首次封板在10:30前；3板以上有辨识度；未炸板；换手过低，成交验证不足；成交额过低，容量和滑点风险高；所属行业在今日涨停/炸板热度前排：家居用品；图形新高或强势池新高；5日涨幅过高，次日兑现风险；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项；T+1行情缺失或未收盘：2026-08-27,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-26,2026-08-27,002366,融发核电,涨停,1,10.052909851074219,6.24,,499945952.0,4.330522537231445,09:25:00,09:58:36,1,,其他电源,4,1,不能打板,,低/可控,待验证/行情缺失,,,,,,,,,,,False,,,,,,1,1.0,0.019017432646592836,,,8.33,6.78,11.03,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：其他电源；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项；T+1行情缺失或未收盘：2026-08-27,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-26,2026-08-27,002418,康盛股份,涨停,2,10.123456954956055,4.46,,529807968.0,10.453725814819336,09:25:00,09:25:00,0,,家电零部,8,-3,可以打板,,低/可控,待验证/行情缺失,,,,,,,,,,,True,111694125.27,0.0,松江中山东路:国泰海通证券股份有限公司上海松江区中山东路证券营业部,0.1849975556198464,0.10005785952776332,,,,否,1.8591890335083008,14.71,15.1,24.93,收盘封住涨停；首次封板在10:30前；2板承接优于普通首板；未炸板；换手处于可承接区间；题材/行业热度一般：家电零部；今日涨停家数尚可；盘后龙虎榜净买入1.12亿，可改善次日风险；关注席位上榜：松江中山东路:国泰海通证券股份有限公司上海松江区中山东路证券营业部,同股历史涨停溢价样本不足；T+1行情缺失或未收盘：2026-08-27,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-26,2026-08-27,002742,冀衡医药,涨停,2,10.04273509979248,5.15,,66286556.0,2.4567010402679443,09:25:00,09:25:00,0,,化学制药,7,-1,谨慎可打,,低/可控,待验证/行情缺失,,,,,,,,,,,True,52581712.0,-8781696.0,松江中山东路:国泰海通证券股份有限公司上海松江区中山东路证券营业部,0.2833331723897224,0.12215026487661346,1,1.0,0.009685230024213176,是,0.28456443548202515,14.55,15.99,20.05,收盘封住涨停；首次封板在10:30前；2板承接优于普通首板；未炸板；成交额过低，容量和滑点风险高；题材/行业热度一般：化学制药；图形新高或强势池新高；今日涨停家数尚可；盘后龙虎榜净买入0.53亿，可改善次日风险；机构净卖出0.09亿；关注席位上榜：松江中山东路:国泰海通证券股份有限公司上海松江区中山东路证券营业部,同股历史涨停溢价样本不足；T+1行情缺失或未收盘：2026-08-27,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-26,2026-08-27,002855,捷荣技术,涨停,2,10.0,12.1,,27442800.0,0.921100378036499,09:25:00,09:25:00,0,,消费电子,6,1,谨慎可打,,低/可控,待验证/行情缺失,,,,,,,,,,,True,8739678.0,-1280894.0,,0.23823196838435923,0.1527599742022396,,,,是,0.7346498370170593,13.53,16.95,23.85,收盘封住涨停；首次封板在10:30前；2板承接优于普通首板；未炸板；换手过低，成交验证不足；成交额过低，容量和滑点风险高；题材/行业热度一般：消费电子；图形新高或强势池新高；今日涨停家数尚可；盘后龙虎榜净买入0.09亿，可改善次日风险；机构净卖出0.01亿,同股历史涨停溢价样本不足；T+1行情缺失或未收盘：2026-08-27,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-26,2026-08-27,603396,金辰股份,涨停,1,10.019342422485352,28.44,,115390295.0,2.9288947582244873,09:25:04,09:25:04,0,,光伏设备,5,0,谨慎可打,,低/可控,待验证/行情缺失,,,,,,,,,,,False,,,,,,2,0.0,-0.019244734931009422,,,8.53,8.38,12.06,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；题材/行业热度一般：光伏设备；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项；T+1行情缺失或未收盘：2026-08-27,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-26,2026-08-27,301630,同宇新材,涨停,1,19.998779296875,196.81,,873589280.0,21.340423583984375,09:30:00,13:36:45,11,,电子化学,1,3,不能打板,,中：需看集合竞价承接,待验证/行情缺失,,,,,,,,,,,True,84163354.44,-1957466.1999999993,,0.18756932009841212,0.11820965544996236,,,,,,14.93,13.21,17.77,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数11次，封板分歧大；题材/行业热度一般：电子化学；今日涨停家数尚可；盘后龙虎榜净买入0.84亿，可改善次日风险；机构净卖出0.02亿,同股历史涨停溢价样本不足；T+1行情缺失或未收盘：2026-08-27,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-26,2026-08-27,605277,新亚电子,涨停,1,10.019776344299316,16.69,,175989461.0,2.7314391136169434,09:30:01,09:30:01,0,,消费电子,5,0,谨慎可打,,低/可控,待验证/行情缺失,,,,,,,,,,,False,,,,,,,,,,,10.01,10.21,16.23,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；题材/行业热度一般：消费电子；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项；T+1行情缺失或未收盘：2026-08-27,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-26,2026-08-27,600479,千金药业,涨停,1,9.980039596557617,11.02,,245578988.0,5.326394557952881,09:30:03,09:30:03,0,,中药Ⅱ,8,-1,可以打板,,低/可控,待验证/行情缺失,,,,,,,,,,,False,,,,,,,,,是,3.2709076404571533,8.74,9.72,11.43,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：中药Ⅱ；图形新高或强势池新高；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项；T+1行情缺失或未收盘：2026-08-27,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-26,2026-08-27,600468,百利电气,涨停,1,10.050251007080078,6.57,,293780928.0,4.1284990310668945,09:30:46,09:31:25,1,,电网设备,5,-2,谨慎可打,,低/可控,待验证/行情缺失,,,,,,,,,,,True,124547390.0,0.0,宁波分公司:国联民生证券股份有限公司宁波分公司；拉萨系:东方财富证券股份有限公司拉萨团结路第二证券营业部；拉萨系:东方财富证券股份有限公司拉萨金融城南环路证券营业部；武汉紫阳东路:国泰海通证券股份有限公司武汉紫阳东路证券营业部,0.4690454802738096,0.04509899990886747,2,0.5,0.014074779156558026,,,8.88,8.56,13.67,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数1次，可接受但需看承接；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：电网设备；今日涨停家数尚可；盘后龙虎榜净买入1.25亿，可改善次日风险；关注席位上榜：宁波分公司:国联民生证券股份有限公司宁波分公司；拉萨系:东方财富证券股份有限公司拉萨团结路第二证券营业部；拉萨系:东方财富证券股份有限公司拉萨金融城南环路证券营,同股历史涨停溢价样本不足；T+1行情缺失或未收盘：2026-08-27,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
