trade_date,next_trade_date,code,name,pool_type,board,pct_chg,close,limit_price,amount,turnover,first_seal_time,last_seal_time,break_count,close_vs_limit,industry,industry_board_rank,industry_limitup_count_today,market_index_trend,emotion_stage,prev_industry_open_good_rate,prev_industry_close_good_rate,prev_industry_sample_count,action_score,signal_risk_score,postclose_risk_score,risk_score,board_action_quality,broken_board_quality,next_day_premium_risk,realized_label,next_open,next_high,next_close,outcome_source,open_premium,high_premium,close_return,net_open_return,low_open,rushed_high,continued_limit_up,lhb_listed,lhb_net_buy,institution_net,tracked_seats,buy_concentration,sell_concentration,stock_personality_tag,hist_limitup_count_3y,hist_failed_seal_count_3y,hist_failed_seal_rate_3y,hist_limitup_count_1y,hist_failed_seal_count_1y,hist_broken_board_rate_1y,hist_open_premium_mean_1y,hist_high_premium_mean_1y,hist_broken_board_rate_3y,hist_broken_sample_count_3y,hist_broken_a_kill_count_3y,hist_broken_a_kill_rate_3y,hist_a_kill_bloodline_index,hist_open_premium_mean_3y,hist_high_premium_mean_3y,personality_forced_downgrade,hist_n,hist_open_win_rate,hist_no_premium_rate,hist_avg_open,hist_median_open,hist_avg_high,hist_avg_close,strong_is_new_high,strong_volume_ratio,tech_ma5_dev,tech_ma10_dev,tech_gain5,signal_decision_reason,postclose_risk_reason,decision_reason,data_gaps,data_lineage
2026-09-10,2026-09-11,000978,桂林旅游,涨停,4,9.988649368286133,9.69,,771858384.0,17.269182205200195,09:25:00,09:38:03,1,,旅游及景,1,1,指数下跌,情绪退潮,,,0,10,1,2,2,可以打板,,中：需看集合竞价承接,待验证/行情缺失,,,,,,,,,,,,True,-31473098.85,-65914199.150000006,拉萨系:东方财富证券股份有限公司拉萨团结路第一证券营业部,0.06458459889387284,0.07794866427325364,股性偏强,3,1,0.3333333333333333,3,1,0.3333333333333333,0.07583389962963727,0.1000121246505589,0.3333333333333333,1,0,0.0,0.0,0.07583389962963727,0.1000121246505589,,3,1.0,0.0,0.07583389962963727,0.09890109890109877,0.1000121246505589,0.1000121246505589,是,1.5156705379486084,19.9,34.01,50.23,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：旅游及景；板块内封板排序第1，属于日内前排；图形新高或强势池新高；5日涨幅过高，次日兑现风险；今日炸板率偏高，次日溢价打折；三年股性偏强：涨停样本3，次日开盘有溢价率100.0%，均值7.6%,盘后龙虎榜净卖出0.31亿，次日风险上升；机构净卖出0.66亿；关注席位上榜：拉萨系:东方财富证券股份有限公司拉萨团结路第一证券营业部,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：旅游及景；板块内封板排序第1，属于日内前排；图形新高或强势池新高；5日涨幅过高，次日兑现风险；今日炸板率偏高，次日溢价打折；三年股性偏强：涨停样本3，次日开盘有溢价率100.0%，均值7.6%,前一交易日本行业涨停样本缺失；T+1行情缺失或未收盘：2026-09-11,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-10,2026-09-11,002790,瑞尔特,涨停,3,10.0130033493042,8.46,,65718092.0,2.9797356128692627,09:25:00,09:25:00,0,,家居用品,1,1,指数下跌,情绪退潮,,,0,9,1,1,1,可以打板,,低/可控,待验证/行情缺失,,,,,,,,,,,,False,,,,,,样本不足,2,1,0.5,2,1,0.5,0.10013655026407775,0.10013655026407775,0.5,1,0,0.0,0.0,0.10013655026407775,0.10013655026407775,,2,1.0,0.0,0.10013655026407775,0.10013655026407775,0.10013655026407775,0.10013655026407775,是,0.7082846164703369,17.7,24.5,31.16,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；未炸板；成交额过低，容量和滑点风险高；题材/行业热度一般：家居用品；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日炸板率偏高，次日溢价打折,,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；未炸板；成交额过低，容量和滑点风险高；题材/行业热度一般：家居用品；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日炸板率偏高，次日溢价打折,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项；T+1行情缺失或未收盘：2026-09-11,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-10,2026-09-11,600318,新力金融,涨停,1,10.068026542663574,8.09,,920574928.0,22.459692001342773,09:25:01,14:39:46,6,,多元金融,1,2,指数下跌,情绪退潮,,,0,4,6,5,5,不能打板,,高：次日无溢价风险高,待验证/行情缺失,,,,,,,,,,,,True,26035949.48,0.0,,0.08501229269309565,0.05673002165843268,股性偏弱,3,3,1.0,3,3,1.0,-0.010174417404614444,0.0005486312255145546,1.0,3,0,0.0,0.0,-0.010174417404614444,0.0005486312255145546,,3,0.3333333333333333,0.6666666666666666,-0.010174417404614444,-0.01196808510638292,0.0005486312255145546,-0.030877513187235306,是,2.02986216545105,8.1,11.11,15.24,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数6次，封板分歧大；所属行业在今日涨停/炸板热度前排：多元金融；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日炸板率偏高，次日溢价打折；三年股性偏弱：涨停样本3，次日开盘有溢价率33.3%，均值-1.0%；历史封板稳定性一般：涨停/炸板样本中未封住比例100.0%,盘后龙虎榜净买入0.26亿，可改善次日风险,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数6次，封板分歧大；所属行业在今日涨停/炸板热度前排：多元金融；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日炸板率偏高，次日溢价打折；三年股性偏弱：涨停样本3，次日开盘有溢价率33.3%，均值-1.0%；历史封板稳定性一般：涨停/炸板样本中未封住比例100.0%,前一交易日本行业涨停样本缺失；T+1行情缺失或未收盘：2026-09-11,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-10,2026-09-11,600359,新农开发,涨停,2,10.045661926269531,9.64,,385379648.0,10.484964370727539,09:25:03,13:24:30,1,,种植业,1,1,指数下跌,情绪退潮,,,0,8,2,1,1,可以打板,,低/可控,待验证/行情缺失,,,,,,,,,,,,True,59342128.8,0.0,,0.12889504674130284,0.046597430310142185,样本不足,2,2,1.0,2,2,1.0,0.06026847114485345,0.08503420072986012,1.0,2,0,0.0,0.0,0.06026847114485345,0.08503420072986012,,2,1.0,0.0,0.06026847114485345,0.06026847114485345,0.08503420072986012,0.052905686673635266,是,1.01060950756073,15.59,22.52,34.64,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：种植业；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日炸板率偏高，次日溢价打折,盘后龙虎榜净买入0.59亿，可改善次日风险,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：种植业；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日炸板率偏高，次日溢价打折,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；T+1行情缺失或未收盘：2026-09-11,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-10,2026-09-11,600488,津药药业,涨停,1,10.074626922607422,5.9,,1110881584.0,17.34731674194336,09:25:03,11:09:54,7,,化学制药,1,3,指数下跌,情绪退潮,,,0,4,4,2,2,不能打板,,中：需看集合竞价承接,待验证/行情缺失,,,,,,,,,,,,True,67772633.1,0.0,宁波分公司:联储证券股份有限公司宁波分公司,0.1261683675140243,0.06516039481904093,样本不足,2,1,0.5,2,1,0.5,0.005639097744360888,0.032581453634085156,0.5,1,0,0.0,0.0,0.005639097744360888,0.032581453634085156,,2,0.5,0.5,0.005639097744360888,0.005639097744360888,0.032581453634085156,-0.015350877192982504,,,9.54,9.6,12.81,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数7次，封板分歧大；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：化学制药；板块内封板排序第1，属于日内前排；今日炸板率偏高，次日溢价打折,盘后龙虎榜净买入0.68亿，可改善次日风险；关注席位上榜：宁波分公司:联储证券股份有限公司宁波分公司,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数7次，封板分歧大；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：化学制药；板块内封板排序第1，属于日内前排；今日炸板率偏高，次日溢价打折,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；T+1行情缺失或未收盘：2026-09-11,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-10,2026-09-11,002377,国创高新,涨停,2,10.158730506896973,3.47,,212451270.0,7.033382415771484,09:30:00,09:30:00,0,,炼化及贸,1,1,指数下跌,情绪退潮,,,0,10,1,1,1,可以打板,,低/可控,待验证/行情缺失,,,,,,,,,,,,True,50300599.8,-27120194.2,,0.1631250811674157,0.13664082377777934,样本不足,1,1,1.0,1,1,1.0,0.08571428571428563,0.10158730158730167,1.0,1,0,0.0,0.0,0.08571428571428563,0.10158730158730167,,1,1.0,0.0,0.08571428571428563,0.08571428571428563,0.10158730158730167,0.10158730158730167,是,1.1352410316467285,15.9,19.74,26.18,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；未炸板；换手处于可承接区间；题材/行业热度一般：炼化及贸；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日炸板率偏高，次日溢价打折,盘后龙虎榜净买入0.50亿，可改善次日风险；机构净卖出0.27亿,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；未炸板；换手处于可承接区间；题材/行业热度一般：炼化及贸；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日炸板率偏高，次日溢价打折,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；T+1行情缺失或未收盘：2026-09-11,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-10,2026-09-11,600792,云煤能源,涨停,3,9.959349632263184,5.41,,833949008.0,14.170308113098145,09:30:42,10:54:15,1,,焦炭Ⅱ,1,1,指数下跌,情绪退潮,,,0,10,3,3,3,谨慎可打,,中：需看集合竞价承接,待验证/行情缺失,,,,,,,,,,,,False,,,,,,A杀血统高,4,1,0.25,4,1,0.25,0.05263975799849796,0.0825111765815772,0.25,1,1,1.0,1.0,0.05263975799849796,0.0825111765815772,谨慎可打,4,0.75,0.25,0.05263975799849796,0.05783134173623605,0.0825111765815772,0.028743945180966846,是,2.0324578285217285,18.43,24.11,33.58,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：焦炭Ⅱ；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日炸板率偏高，次日溢价打折；三年股性偏强：涨停样本4，次日开盘有溢价率75.0%，均值5.3%；A杀血统指数偏高：历史炸板样本1，炸板后A杀率100.0%；A杀血统样本较少，强制退出严格可以打板名单；A杀血统指数>30%，样本较少但强制降档为谨慎可打,,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：焦炭Ⅱ；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日炸板率偏高，次日溢价打折；三年股性偏强：涨停样本4，次日开盘有溢价率75.0%，均值5.3%；A杀血统指数偏高：历史炸板样本1，炸板后A杀率100.0%；A杀血统样本较少，强制退出严格可以打板名单；A杀血统指数>30%，样本较少但强制降档为谨慎可打,前一交易日本行业涨停样本缺失；龙虎榜未上榜或未匹配；仅可作为盘后缺失项；T+1行情缺失或未收盘：2026-09-11,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-10,2026-09-11,600192,长城电工,涨停,2,10.012674331665039,8.68,,420774928.0,11.044857025146484,09:30:45,13:04:06,3,,电网设备,1,1,指数下跌,情绪退潮,,,0,8,3,2,2,可以打板,,中：需看集合竞价承接,待验证/行情缺失,,,,,,,,,,,,True,21881213.3,0.0,,0.13872989718900433,0.10546728453884482,股性偏强,3,2,0.6666666666666666,3,2,0.6666666666666666,0.018410461481567292,0.06534915101107457,0.6666666666666666,2,0,0.0,0.0,0.018410461481567292,0.06534915101107457,,3,0.6666666666666666,0.3333333333333333,0.018410461481567292,0.023545706371191022,0.06534915101107457,0.04074959595640426,是,3.795865297317505,13.7,17.11,20.22,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；炸板次数3次，封板稳定性一般；换手处于可承接区间；题材/行业热度一般：电网设备；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日炸板率偏高，次日溢价打折；三年股性偏强：涨停样本3，次日开盘有溢价率66.7%，均值1.8%；历史封板稳定性一般：涨停/炸板样本中未封住比例66.7%,盘后龙虎榜净买入0.22亿，可改善次日风险,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；炸板次数3次，封板稳定性一般；换手处于可承接区间；题材/行业热度一般：电网设备；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日炸板率偏高，次日溢价打折；三年股性偏强：涨停样本3，次日开盘有溢价率66.7%，均值1.8%；历史封板稳定性一般：涨停/炸板样本中未封住比例66.7%,前一交易日本行业涨停样本缺失；T+1行情缺失或未收盘：2026-09-11,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-10,2026-09-11,000993,闽东电力,涨停,2,10.026155471801758,12.62,,678574304.0,12.118818283081055,09:33:51,09:47:42,1,,电力,1,5,指数下跌,情绪退潮,,,0,9,1,1,1,可以打板,,低/可控,待验证/行情缺失,,,,,,,,,,,,True,62242925.6,-10041909.69,,0.14439770556532586,0.10890465940644238,样本不足,1,0,0.0,1,0,0.0,0.02615518744550993,0.10026155187445496,0.0,0,0,,,0.02615518744550993,0.10026155187445496,,1,1.0,0.0,0.02615518744550993,0.02615518744550993,0.10026155187445496,0.10026155187445496,是,2.492522954940796,13.27,18.65,20.31,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；炸板次数1次，可接受但需看承接；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：电力；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日炸板率偏高，次日溢价打折,盘后龙虎榜净买入0.62亿，可改善次日风险；机构净卖出0.10亿,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；炸板次数1次，可接受但需看承接；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：电力；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日炸板率偏高，次日溢价打折,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；T+1行情缺失或未收盘：2026-09-11,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-10,2026-09-11,002912,中新赛克,涨停,1,9.984560012817383,21.37,,243382977.0,7.10488748550415,09:34:21,14:37:24,4,,计算机设,1,1,指数下跌,情绪退潮,,,0,4,4,4,4,不能打板,,高：次日无溢价风险高,待验证/行情缺失,,,,,,,,,,,,False,,,,,,样本不足,1,1,1.0,1,1,1.0,0.03661436043747024,0.06514503090822621,1.0,1,0,0.0,0.0,0.03661436043747024,0.06514503090822621,,1,1.0,0.0,0.03661436043747024,0.03661436043747024,0.06514503090822621,0.05563480741797422,,,6.58,7.01,7.23,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数4次，封板稳定性一般；换手处于可承接区间；题材/行业热度一般：计算机设；板块内封板排序第1，属于日内前排；今日炸板率偏高，次日溢价打折,,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数4次，封板稳定性一般；换手处于可承接区间；题材/行业热度一般：计算机设；板块内封板排序第1，属于日内前排；今日炸板率偏高，次日溢价打折,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项；T+1行情缺失或未收盘：2026-09-11,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
